slug,nom,page_url,logo_url,description_courte
soram-pacifique,SORAM PACIFIQUE,https://open.pf/adherents/soram-pacifique/,https://open.pf/wp-content/uploads/2024/10/LOGO-Soram-Pacifique-VERT.jpg,"Leader vente/location de systèmes d'impression et numérisation, solutions SIRH, cybersécurité, écrans multimédia et supports de diffusion."
havae-consulting,Hava'e consulting,https://open.pf/adherents/havae-consulting/,https://open.pf/wp-content/uploads/2024/10/Black20White20Minimalist20SImple20Monogram20Typography20Logo-1200x1200.png,"Cabinet de conseil basé en Polynésie française, spécialisé dans la transformation numérique, la stratégie d'entreprise et l'optimisation des processus."
invest-in-pacific,SAS INVEST IN PACIFIC,https://open.pf/adherents/invest-in-pacific/,https://open.pf/wp-content/uploads/2024/10/logotype-IIP_FR-1200x980.jpg,"Agrément AMF. Permet aux épargnants d'investir directement dans l'immobilier, les sociétés innovantes et les PME locales."
dinovox,DinoVox,https://open.pf/adherents/dinovox/,https://open.pf/wp-content/uploads/2024/09/Logo-DinoVox-v2-1-1200x450.png,"1ère entreprise nativement Web3 de Polynésie. NFT, cryptomonnaies, blockchain, tokenisation, métavers, FenuaVerse."
spilog-2,SPILOG,https://open.pf/adherents/spilog-2/,https://open.pf/wp-content/uploads/2024/07/Logo20SPILOG.png,
cabinet-alain-oziel,Cabinet Alain Oziel,https://open.pf/adherents/cabinet-alain-oziel/,,
advens,Advens,https://open.pf/adherents/advens/,https://open.pf/wp-content/uploads/2024/05/logo-cercle-ad_blanc-et-bleu_fond-gris_1182x1182px.png,
maraamu,Mara'amu,https://open.pf/adherents/maraamu/,https://open.pf/wp-content/uploads/2024/05/Maraamu-1200x1200.png,
update-solutions,Üpdate solütions,https://open.pf/adherents/update-solutions/,https://open.pf/wp-content/uploads/2024/05/UPDATE-LOGO_page-0001-1200x675.jpg,
green-tech-lab,Green/Tech/Lab,https://open.pf/adherents/green-tech-lab/,https://open.pf/wp-content/uploads/2024/04/android-chrome-256x256-1.png,"Mesure, amélioration et valorisation des impacts environnementaux des infrastructures et services IT."
foodease,Foodease,https://open.pf/adherents/foodease/,https://open.pf/wp-content/uploads/2024/04/sans-bordure-ni-ecriture.png,"1ère plateforme de livraison de restaurant et commerce du Fenua."
taiara-sarl,TA'IARA SARL,https://open.pf/adherents/taiara-sarl/,https://open.pf/wp-content/uploads/2024/04/Logo-seul-couleurs-1200x1017.png,
community-tahiti,Community Tahiti,https://open.pf/adherents/community-tahiti/,https://open.pf/wp-content/uploads/2024/04/FullColor_1024x1024_72dpi.png,
moana-numera,Moana Nūmera,https://open.pf/adherents/moana-numera/,https://open.pf/wp-content/uploads/2024/04/logo-black-1200x261.png,"Forme, accompagne et outille les organisations qui désirent transformer leur approche du numérique en respectant l'environnement, plaçant l'humain au cœur et améliorant l'efficience."
innovative-digital-technologies,Innovative Digital Technologies,https://open.pf/adherents/innovative-digital-technologies/,,"Conseil / Expertise, Distribution et intégration, Hébergement / Stockage / Cloud. Immeuble Hokulea 2, rue Cook 98 713 Papeete."
digital-tahiti-2,Digital Tahiti,https://open.pf/adherents/digital-tahiti-2/,https://open.pf/wp-content/uploads/2023/06/Digital-Tahiti-logo-DFT2019.png,
sysnux-2,SysNux,https://open.pf/adherents/sysnux-2/,,
vittoria-io,Vittoria.io,https://open.pf/adherents/vittoria-io/,,
banque-de-tahiti,Banque de Tahiti,https://open.pf/adherents/banque-de-tahiti/,,
bull-sas-an-atos-company,"Bull SAS, an Atos company",https://open.pf/adherents/bull-sas-an-atos-company/,,
tehera,Tehera,https://open.pf/adherents/2055-2/,,
tahiti-numerique,Tahiti Numérique,https://open.pf/adherents/tahiti-numerique/,,"Agence d'ingénierie logicielle depuis 2018 : conseil en transformation digitale, développement applications web/mobile, intégration SaaS (GEC, GRU, RH, BI), formations."
iaora-systems,Iaora systems,https://open.pf/adherents/iaora-systems/,https://open.pf/wp-content/uploads/2022/07/iaora_systems-logo-rvb_2018_796x224.jpeg,"Spécialisée en services numériques : développement de logiciels et conseil RGPD."
tahiti-video-production,Tahiti Video Production,https://open.pf/adherents/tahiti-video-production/,,
cegelec,Cegelec,https://open.pf/adherents/cegelec/,,
oceanienne-de-services-bancaires,Océanienne de Services Business,https://open.pf/adherents/oceanienne-de-services-bancaires/,https://open.pf/wp-content/uploads/2022/07/Design-sans-titre-1.png,
ivea,Ivea,https://open.pf/adherents/ivea/,,"Regroupe 5 enseignes : Ivea Apple Premium Reseller / Centre de Services / Bose Store / Smart Store / iStore. Papeete - Centre Vaima."
te-rama,TE RAMA,https://open.pf/adherents/te-rama/,https://open.pf/wp-content/uploads/2022/05/118653317478_TERAMA-LOGO-FAB_cartouche20vert20bleu-1200x529.png,
isi-pf,ISI.PF,https://open.pf/adherents/isi-pf/,,
ileade,iléade,https://open.pf/adherents/ileade/,,"De la gestion de projet à l'assistance MOA, du développement à l'ingénierie inversée, de l'intégration à l'éditique : large panoplie de services."
actecil-polynesie-francaise,Actecil Polynésie française,https://open.pf/adherents/actecil-polynesie-francaise/,,"Audit, Communication digitale, Conseil / Expertise. Immeuble Laux, Rue Émile Martin, Quartier du Commerce, PAPEETE. Contact : Christel CHAUVEAU-SIMIOL."
la-french-tech-polynesie,La French Tech Polynésie,https://open.pf/adherents/la-french-tech-polynesie/,,"Mouvement français des startups en Polynésie. Promotion de l'innovation numérique, transformation digitale, ses acteurs et porteurs de projets."
transport-denergie-electrique-en-polynesie-francaise,TEP,https://open.pf/adherents/transport-denergie-electrique-en-polynesie-francaise/,,"Transport d'énergie électrique en Polynésie française."
iki-consulting,iKi consulting,https://open.pf/adherents/iki-consulting/,,"Amélioration des processus et déroulement des projets. Le digital et les logiciels comme leviers d'efficience opérationnelle."
digital-techno,Digital Techno,https://open.pf/adherents/digital-techno/,,
b-edition,B Edition,https://open.pf/adherents/b-edition/,,
polynesienne-des-eaux,Polynésienne des eaux,https://open.pf/adherents/polynesienne-des-eaux/,,
inbusol,Inbusol,https://open.pf/adherents/inbusol/,,
proxi,#Prox-i,https://open.pf/adherents/proxi/,https://open.pf/wp-content/uploads/2023/12/OPEN-Pf_PROXI.png,
sas-onati,SAS ONATi,https://open.pf/adherents/sas-onati/,,
sf2i,SF2I,https://open.pf/adherents/sf2i/,,"Admin / Réseaux / Système, AMO / AMI, Audit, Conseil / Expertise, Développement logiciels. Immeuble Le Bihan 1er étage, I1 et H1 - 98716 Pirae. Contact : Florian CHABOT."
